application.name,batch.name,code.name,codelet.name,binary_loop.id,cpu.generation,prefetchers,decan_experimental_configuration.data_size,decan_experimental_configuration.memory_load,decan_experimental_configuration.frequency,decan_variant.name,decan_experimental_configuration.num_core,Iterations,Repetitions,CPU_CLK_UNHALTED_THREAD,INST_RETIRED_ANY,L1D_PEND_MISS_PENDING_ND,L1D_REPLACEMENT_ND,MEM_LOAD_UOPS_RETIRED_HIT_LFB_ND,MEM_LOAD_UOPS_RETIRED_L1_HIT_ND,MEM_LOAD_UOPS_RETIRED_L1_MISS,MEM_LOAD_UOPS_RETIRED_L2_HIT_ND,MEM_LOAD_UOPS_RETIRED_LLC_HIT_PS,MEM_LOAD_UOPS_RETIRED_LLC_MISS_PS,MEM_UOPS_RETIRED_ALL_LOADS,MEM_UOPS_RETIRED_ALL_STORES,UOPS_ISSUED_ANY_ND,UOPS_RETIRED_ALL_ND,UOPS_RETIRED_RETIRE_SLOTS_ND,Bytes_loaded,Bytes_stored
NRs_CAPE,1D_loop-Stride_1,balanc_3,balanc_3_sVS_de,0,Haswell,15,200000,0,2500000,ORG,1,666675000,26667,15.88,28.04,31.99,1.00,6.90,0.13,0.99,0.00,0.99,0.00,8.01,8.01,27.06,35.06,27.05,64.00,64.00
NRs_CAPE,1D_loop-Stride_1,balanc_3,balanc_3_de,1,Haswell,15,200000,0,2500000,ORG,1,1333350000,53334,9.12,15.02,37.11,1.00,2.96,0.06,0.99,0.00,0.99,0.00,4.01,4.00,14.03,18.03,14.03,64.00,64.00
NRs_CAPE,1D_loop-Stride_1,elmhes_10,elmhes_10_sVS_de,0,Haswell,15,200000,0,2500000,ORG,1,400000000,16000,27.28,36.07,62.17,2.02,13.72,0.31,1.99,0.01,1.97,0.00,16.02,8.01,35.09,51.10,35.08,128.00,64.00
NRs_CAPE,1D_loop-Stride_1,elmhes_10,elmhes_10_de,1,Haswell,15,200000,0,2500000,ORG,1,661175000,26447,15.33,19.04,71.70,2.04,5.89,0.14,1.98,0.01,1.97,0.00,8.01,4.01,18.05,26.06,18.05,128.00,64.00
NRs_CAPE,1D_loop-Stride_1,four1_2,four1_2_me,1,Haswell,15,200000,0,2500000,ORG,1,799984000,16000,16.61,32.04,7.12,0.25,2.22,3.55,0.25,0.00,0.25,0.00,6.01,4.01,35.05,39.05,35.05,24.00,16.00
NRs_CAPE,1D_loop-Stride_1,mprove_9,mprove_9_sVS_de,0,Haswell,15,200000,0,2500000,ORG,1,400000000,16000,25.42,28.07,63.03,2.00,13.55,0.49,1.97,0.00,1.97,0.00,16.02,8.01,27.09,43.10,27.08,128.00,64.00
NRs_CAPE,1D_loop-Stride_1,mprove_9,mprove_9_de,1,Haswell,15,200000,0,2500000,ORG,1,698100000,27924,14.55,15.04,74.26,2.00,5.84,0.20,1.97,0.00,1.97,0.00,8.01,4.01,14.05,22.06,14.05,128.00,64.00
NRs_CAPE,1D_loop-Stride_1,realft_4,realft_4_de,0,Haswell,15,200000,0,2500000,ORG,1,799984000,16000,20.23,41.04,14.38,0.50,1.53,2.00,0.49,0.00,0.48,0.00,4.01,4.01,40.05,44.06,40.05,32.00,32.00
Saeed,1D_loop-Stride_1,s1244,s1244_se,1,Haswell,15,59961,0,2500000,ORG,1,799476660,53334,12.90,15.04,25.90,1.00,1.77,0.50,0.74,0.00,0.74,0.00,3.01,2.01,14.06,16.06,14.05,48.00,32.00
Saeed,1D_loop-Stride_1,s1244,s1244_sVS_se,0,Haswell,15,59961,0,2500000,ORG,1,1918720000,32000,6.01,15.02,5.77,0.25,1.01,1.81,0.19,0.00,0.18,0.00,3.00,2.00,15.02,17.03,15.02,12.00,8.00
Saeed,1D_loop-Stride_1,s319,s319_sVS_se,0,Haswell,15,60000,0,2500000,ORG,1,1421280000,23688,7.05,12.02,5.67,0.31,1.05,1.78,0.18,0.00,0.18,0.00,3.01,2.00,11.03,13.03,11.03,12.00,8.00
Saeed,1D_loop-Stride_1,s319,s319_se,1,Haswell,15,60000,0,2500000,ORG,1,240000000,32000,41.77,21.14,47.14,2.50,0.43,4.13,1.48,0.00,1.48,0.00,6.04,4.02,20.18,24.20,20.17,96.00,64.00
NRs_CAPE,1D_loop-Stride_1,svdcmp_13,svdcmp_13_de,1,Haswell,15,200000,0,2500000,ORG,1,200000000,8000,56.41,23.14,28.82,1.00,2.95,0.10,0.99,0.00,0.99,0.00,4.04,4.02,22.18,26.20,22.17,64.00,64.00
NRs_CAPE,1D_loop-Stride_1,svdcmp_13,svdcmp_13_sVS_de,0,Haswell,15,200000,0,2500000,ORG,1,100000000,4000,112.83,44.28,28.67,1.00,6.86,0.23,0.99,0.00,0.99,0.00,8.08,8.04,43.36,51.40,43.34,64.00,64.00
NRs_CAPE,1D_loop-Stride_1,svdcmp_14,svdcmp_14_sVS_de,0,Haswell,15,200000,0,2500000,ORG,1,100000000,4000,112.70,28.28,28.82,2.00,6.89,0.20,0.99,0.00,0.99,0.00,8.08,8.04,27.36,35.40,27.34,64.00,64.00
NRs_CAPE,1D_loop-Stride_1,svdcmp_14,svdcmp_14_de,1,Haswell,15,200000,0,2500000,ORG,1,200000000,8000,56.37,15.14,29.54,2.00,2.96,0.10,0.99,0.00,0.99,0.00,4.04,4.02,14.18,18.20,14.17,64.00,64.00
NRs_CAPE,1D_loop-Stride_1,toeplz_1,toeplz_1_sVS_de,0,Haswell,15,100001,0,2500000,ORG,1,202537500,16203,49.41,58.16,91.20,3.14,27.63,3.34,3.07,0.14,2.93,0.00,34.04,2.03,57.21,75.23,57.19,272.00,16.00
NRs_CAPE,1D_loop-Stride_1,toeplz_1,toeplz_1_de,1,Haswell,15,100001,0,2500000,ORG,1,342150000,27372,29.36,42.10,93.56,3.04,15.41,1.62,3.00,0.04,2.96,0.00,20.03,0.02,41.12,49.14,41.12,192.00,0.00
NRs_CAPE,1D_loop-Stride_1,toeplz_2,toeplz_2_de,0,Haswell,15,200000,0,2500000,ORG,1,1600000000,16000,7.35,15.02,15.40,0.50,3.25,2.27,0.49,0.00,0.49,0.00,6.00,2.00,14.02,18.03,14.02,48.00,16.00
NRs_CAPE,1D_loop-Stride_1,toeplz_4,toeplz_4_de,0,Haswell,15,200000,0,2500000,ORG,1,1600000000,16000,8.84,24.02,16.08,0.50,1.48,2.05,0.48,0.00,0.48,0.00,4.01,4.00,23.02,27.03,23.02,32.00,32.00
NRs_CAPE,1D_loop-Stride_1,tridag_1,tridag_1_de,0,Haswell,15,10000,0,2500000,ORG,1,236236374,23626,42.32,15.11,15.38,0.75,0.15,3.39,0.49,0.01,0.49,0.00,4.03,2.02,14.15,16.17,14.14,32.00,16.00
NRs_CAPE,1D_loop-Stride_1,tridag_2,tridag_2_de,0,Haswell,15,200000,0,2500000,ORG,1,799992000,8000,16.05,13.04,14.70,0.50,1.83,1.68,0.49,0.00,0.49,0.00,4.01,2.01,12.05,15.05,12.04,32.00,16.00
NRs_CAPE,1D_loop-Stride_CLDA,elmhes_11,elmhes_11_sVS_de,0,Haswell,15,10000,0,2500000,ORG,1,427470000,85494,23.74,14.07,170.88,4.00,0.01,0.02,4.00,0.00,4.00,0.00,4.02,2.01,13.09,15.10,13.09,32.00,16.00
NRs_CAPE,1D_loop-Stride_CLDA,elmhes_11,elmhes_11_de,1,Haswell,15,10000,0,2500000,ORG,1,106952500,85562,94.90,44.31,685.46,16.01,0.03,0.07,15.99,0.00,15.99,0.00,16.08,8.05,43.40,59.44,43.37,128.00,64.00
NRs_CAPE,1D_loop-Stride_CLDA,svdcmp_11,svdcmp_11_sVS_de,0,Haswell,15,10000,0,2500000,ORG,1,800000000,160000,15.35,10.04,92.61,2.00,0.00,0.01,2.00,0.00,2.00,0.00,2.01,2.01,9.06,11.06,9.05,16.00,16.00
NRs_CAPE,1D_loop-Stride_CLDA,svdcmp_11,svdcmp_11_de,1,Haswell,15,10000,0,2500000,ORG,1,200000000,160000,61.42,27.18,371.81,8.01,0.01,0.04,8.00,0.00,8.00,0.00,8.05,8.03,26.23,38.25,26.21,64.00,64.00
NRs_CAPE,1D_loop-Stride_CLDA,svdcmp_6,svdcmp_6_de,2,Haswell,15,10000,0,2500000,ORG,1,255612500,204490,40.12,24.19,281.57,8.01,0.01,0.03,8.01,0.00,8.01,0.00,8.05,0.03,23.22,27.25,23.21,64.00,0.00
NRs_CAPE,1D_loop-Stride_CLDA,svdcmp_6,svdcmp_6_sVS_de,0,Haswell,15,10000,0,2500000,ORG,1,1016665000,203333,10.07,10.04,70.17,2.00,0.00,2.01,2.00,0.00,2.00,0.00,4.01,0.01,9.05,11.05,9.05,48.00,0.00
NRs_CAPE,1D_loop-Stride_LDA,hqr_15,hqr_15_se,0,Haswell,15,6000,0,2500000,ORG,1,162429000,216572,61.44,37.24,371.40,8.01,0.01,0.04,8.01,0.00,8.00,0.00,8.06,8.04,36.30,44.32,36.28,32.00,32.00
NRs_CAPE,2D_loop-Stride_1,hqr-sq_12,hqr-sq_12_se,1,Haswell,15,544,0,2500000,ORG,1,2959360000,80000,4.28,9.01,15.18,0.50,1.48,2.03,0.49,0.00,0.49,0.00,4.00,0.00,8.01,10.01,8.01,64.00,0.00
NRs_CAPE,2D_loop-Stride_1,hqr-sq_12,hqr-sq_12_sVS_se,0,Haswell,15,544,0,2500000,ORG,1,2682067968,18126,3.73,9.01,3.65,0.13,1.79,2.09,0.12,0.00,0.12,0.00,4.00,0.00,8.01,10.01,8.01,40.00,0.00
NRs_CAPE,2D_loop-Stride_1,ludcmp-sq_4,ludcmp-sq_4_se,2,Haswell,15,544,0,2500000,ORG,1,591872000,16000,20.61,19.78,88.94,8.49,1.42,0.14,8.48,8.00,0.48,0.00,10.04,0.04,24.82,26.76,24.72,64.00,0.00
NRs_CAPE,2D_loop-Stride_1,ludcmp-sq_4,ludcmp-sq_4_sVS_se,1,Haswell,15,544,0,2500000,ORG,1,591872000,16000,26.44,29.82,85.74,8.50,6.76,0.98,8.49,8.01,0.48,0.00,16.23,0.14,28.88,36.93,28.78,64.00,0.00
NRs_CAPE,2D_loop-Stride_1,matadd-flb_16,matadd-flb_16_sVS_de,0,Haswell,15,352,0,2500000,ORG,1,369868928,23881,27.48,28.07,65.03,3.01,13.78,0.26,1.98,0.01,1.97,0.00,16.02,8.01,27.10,43.11,27.09,128.00,64.00
NRs_CAPE,2D_loop-Stride_1,matadd-flb_16,matadd-flb_16_de,1,Haswell,15,352,0,2500000,ORG,1,619520000,40000,17.69,15.05,76.32,3.01,5.96,0.06,1.99,0.00,1.99,0.00,8.01,4.01,14.06,22.07,14.06,128.00,64.00
NRs_CAPE,2D_loop-Stride_1,mprove_8,mprove_8_me,6,Haswell,15,400,0,2500000,ORG,1,800000000,40000,12.82,18.61,14.73,0.50,1.47,1.10,0.50,0.00,0.50,0.00,3.07,0.03,21.82,21.66,21.60,48.00,0.00
NRs_CAPE,2D_loop-Stride_1,mprove_8,mprove_8_sVS_me,2,Haswell,15,400,0,2500000,ORG,1,1066680000,26667,10.04,21.18,7.40,0.25,1.73,4.05,0.25,0.00,0.25,0.00,6.03,0.01,24.30,24.22,24.19,24.00,0.00
NRs_CAPE,2D_loop-Stride_1,svbksb_3,svbksb_3_se,6,Haswell,15,400,0,2500000,ORG,1,1600000000,160000,8.77,18.12,30.98,1.00,2.96,2.10,0.99,0.00,0.99,0.00,6.05,0.04,17.30,17.09,17.03,96.00,0.00
NRs_CAPE,2D_loop-Stride_1,svbksb_3,svbksb_3_sVS_se,1,Haswell,15,400,0,2500000,ORG,1,400000000,40000,29.39,58.17,28.99,1.00,9.72,23.39,0.99,0.00,0.99,0.00,34.10,2.11,57.49,75.25,57.13,136.00,8.00
NRs_CAPE,2D_loop-Stride_LDA,lop_13,lop_13_sVS_de,0,Haswell,15,354,0,2500000,ORG,1,1982464000,16000,7.17,15.04,3.86,0.25,0.61,4.27,0.12,0.00,0.12,0.00,5.00,1.00,14.09,18.05,14.04,40.00,8.00
NRs_CAPE,2D_loop-Stride_LDA,lop_13,lop_13_de,2,Haswell,15,354,0,2500000,ORG,1,350261120,22615,28.76,61.06,31.75,2.02,2.91,13.30,1.00,0.00,1.00,0.00,17.20,4.04,59.92,67.98,59.91,272.00,64.00
NRs_CAPE,2D_loop-Stride_LDA,relax2_26,relax2_26_sVS_de,2,Haswell,15,306,0,2500000,ORG,1,739328000,8000,14.35,23.22,28.03,1.90,0.74,5.40,1.88,1.38,0.51,0.00,8.03,1.01,22.30,27.24,22.22,64.00,8.00
NRs_CAPE,2D_loop-Stride_LDA,relax2_26,relax2_26_de,3,Haswell,15,306,0,2500000,ORG,1,739328000,16000,23.24,41.86,56.91,3.60,1.34,7.28,3.58,2.57,1.01,0.00,12.20,2.09,40.98,48.93,40.80,96.00,16.00
NRs_CAPE,2D_loop-Stride_LDA,rstrct_29,rstrct_29_de,2,Haswell,15,355,0,2500000,ORG,1,309760000,80000,40.92,102.92,63.50,3.05,5.98,24.36,1.96,0.00,1.96,0.00,32.30,4.06,101.70,117.83,101.67,320.00,64.00
NRs_CAPE,2D_loop-Stride_LDA,rstrct_29,rstrct_29_sVS_de,1,Haswell,15,355,0,2500000,ORG,1,309760000,80000,41.01,78.88,63.31,3.05,5.98,24.58,1.96,0.00,1.96,0.00,32.53,8.38,77.78,102.15,77.76,256.00,64.00
nr_ubmks,original,ptr1_movaps_branch,ptr1_movaps_branch,0,Haswell,15,10000,0,2500000,ORG,1,272810000,27281,38.09,5.10,29.03,1.00,0.00,0.04,0.99,0.00,0.98,0.00,1.03,0.02,4.13,4.14,4.12,16.00,0.00
